,LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
1510,AL100,A414 between M1 J7 and A405 (AL100),20150316,70,1062.57,15.28,1,4.510000229,288.0
1511,AL100,A414 between M1 J7 and A405 (AL100),20150316,71,822.08,19.75,1,4.510000229,268.0
1512,AL100,A414 between M1 J7 and A405 (AL100),20150316,72,618.93,26.23,1,4.510000229,245.5
1513,AL100,A414 between M1 J7 and A405 (AL100),20150316,73,415.77,39.05,1,4.510000229,221.0
1514,AL100,A414 between M1 J7 and A405 (AL100),20150316,74,134.6,120.62,1,4.510000229,201.0
1515,AL100,A414 between M1 J7 and A405 (AL100),20150316,75,139.88,116.07,1,4.510000229,160.5
1516,AL100,A414 between M1 J7 and A405 (AL100),20150316,76,176.9,91.78,1,4.510000229,150.5
1517,AL100,A414 between M1 J7 and A405 (AL100),20150316,77,141.43,114.8,1,4.510000229,138.0
1518,AL100,A414 between M1 J7 and A405 (AL100),20150316,78,143.93,112.8,1,4.510000229,127.0
1519,AL100,A414 between M1 J7 and A405 (AL100),20150316,79,146.42,110.89,1,4.510000229,106.5
1520,AL100,A414 between M1 J7 and A405 (AL100),20150316,80,146.42,110.89,1,4.510000229,96.0
1521,AL100,A414 between M1 J7 and A405 (AL100),20150316,81,146.42,110.89,1,4.510000229,93.5
1522,AL100,A414 between M1 J7 and A405 (AL100),20150316,82,156.36,103.84,3,4.510000229,79.5
1523,AL100,A414 between M1 J7 and A405 (AL100),20150316,83,131.84,123.15,3,4.510000229,67.0
1524,AL100,A414 between M1 J7 and A405 (AL100),20150316,84,132.66,122.39,3,4.510000229,73.5
1525,AL100,A414 between M1 J7 and A405 (AL100),20150316,85,134.58,120.64,1,4.510000229,78.5
1526,AL100,A414 between M1 J7 and A405 (AL100),20150316,86,134.58,120.64,1,4.510000229,68.0
1527,AL100,A414 between M1 J7 and A405 (AL100),20150316,87,134.58,120.64,1,4.510000229,65.5
1528,AL100,A414 between M1 J7 and A405 (AL100),20150316,88,134.58,120.64,1,4.510000229,74.5
1529,AL100,A414 between M1 J7 and A405 (AL100),20150316,89,134.58,120.64,1,4.510000229,65.0
1530,AL100,A414 between M1 J7 and A405 (AL100),20150316,90,139.45,116.43,1,4.510000229,50.0
1531,AL100,A414 between M1 J7 and A405 (AL100),20150316,91,139.45,116.43,1,4.510000229,40.5
1532,AL100,A414 between M1 J7 and A405 (AL100),20150316,92,139.45,116.43,1,4.510000229,37.5
1533,AL100,A414 between M1 J7 and A405 (AL100),20150316,93,150.24,108.07,1,4.510000229,29.0
1534,AL100,A414 between M1 J7 and A405 (AL100),20150316,94,150.24,108.07,1,4.510000229,29.0
1535,AL100,A414 between M1 J7 and A405 (AL100),20150316,95,150.24,108.07,1,4.510000229,25.0
1536,AL100,A414 between M1 J7 and A405 (AL100),20150317,00,148.69,109.19,1,4.510000229,23.5
1537,AL100,A414 between M1 J7 and A405 (AL100),20150317,01,148.69,109.19,1,4.510000229,22.5
1538,AL100,A414 between M1 J7 and A405 (AL100),20150317,02,148.69,109.19,1,4.510000229,20.0
1539,AL100,A414 between M1 J7 and A405 (AL100),20150317,03,148.5,109.33,3,4.510000229,18.0
1540,AL100,A414 between M1 J7 and A405 (AL100),20150317,04,159.72,101.65,1,4.510000229,14.0
1541,AL100,A414 between M1 J7 and A405 (AL100),20150317,05,159.72,101.65,1,4.510000229,15.5
1542,AL100,A414 between M1 J7 and A405 (AL100),20150317,06,159.72,101.65,1,4.510000229,16.5
1543,AL100,A414 between M1 J7 and A405 (AL100),20150317,07,159.72,101.65,1,4.510000229,14.5
1544,AL100,A414 between M1 J7 and A405 (AL100),20150317,08,159.72,101.65,1,4.510000229,13.0
1545,AL100,A414 between M1 J7 and A405 (AL100),20150317,09,161.79,100.35,3,4.510000229,14.0
1546,AL100,A414 between M1 J7 and A405 (AL100),20150317,10,161.04,100.82,3,4.510000229,12.0
1547,AL100,A414 between M1 J7 and A405 (AL100),20150317,11,150.99,107.53,3,4.510000229,15.5
1548,AL100,A414 between M1 J7 and A405 (AL100),20150317,12,158.0,102.76,3,4.510000229,18.5
1549,AL100,A414 between M1 J7 and A405 (AL100),20150317,13,170.94,94.98,3,4.510000229,22.5
1550,AL100,A414 between M1 J7 and A405 (AL100),20150317,14,132.58,122.46,3,4.510000229,22.5
1551,AL100,A414 between M1 J7 and A405 (AL100),20150317,15,159.36,101.88,3,4.510000229,20.5
1552,AL100,A414 between M1 J7 and A405 (AL100),20150317,16,162.75,99.76,3,4.510000229,20.5
1553,AL100,A414 between M1 J7 and A405 (AL100),20150317,17,176.16,92.17,3,4.510000229,21.0
1554,AL100,A414 between M1 J7 and A405 (AL100),20150317,18,172.12,94.33,1,4.510000229,43.5
1555,AL100,A414 between M1 J7 and A405 (AL100),20150317,19,172.12,94.33,1,4.510000229,37.0
1556,AL100,A414 between M1 J7 and A405 (AL100),20150317,20,172.12,94.33,1,4.510000229,51.5
1557,AL100,A414 between M1 J7 and A405 (AL100),20150317,21,172.12,94.33,1,4.510000229,78.5
1558,AL100,A414 between M1 J7 and A405 (AL100),20150317,22,169.35,95.87,1,4.510000229,114.0
1559,AL100,A414 between M1 J7 and A405 (AL100),20150317,23,166.57,97.47,1,4.510000229,98.0
1560,AL100,A414 between M1 J7 and A405 (AL100),20150317,24,166.57,97.47,1,4.510000229,144.5
1561,AL100,A414 between M1 J7 and A405 (AL100),20150317,25,143.13,113.44,1,4.510000229,154.0
1562,AL100,A414 between M1 J7 and A405 (AL100),20150317,26,151.55,107.13,1,4.510000229,216.0
1563,AL100,A414 between M1 J7 and A405 (AL100),20150317,27,148.76,109.14,1,4.510000229,241.5
1564,AL100,A414 between M1 J7 and A405 (AL100),20150317,28,154.16,105.32,1,4.510000229,271.0
1565,AL100,A414 between M1 J7 and A405 (AL100),20150317,29,154.67,104.97,1,4.510000229,308.0
1566,AL100,A414 between M1 J7 and A405 (AL100),20150317,30,143.52,113.13,1,4.510000229,313.5
1567,AL100,A414 between M1 J7 and A405 (AL100),20150317,31,134.03,121.14,1,4.510000229,333.0
1568,AL100,A414 between M1 J7 and A405 (AL100),20150317,32,155.65,104.31,1,4.510000229,362.5
1569,AL100,A414 between M1 J7 and A405 (AL100),20150317,33,188.01,86.36,1,4.510000229,344.0
1570,AL100,A414 between M1 J7 and A405 (AL100),20150317,34,220.36,73.68,1,4.510000229,313.0
1571,AL100,A414 between M1 J7 and A405 (AL100),20150317,35,175.73,92.39,1,4.510000229,256.0
1572,AL100,A414 between M1 J7 and A405 (AL100),20150317,36,167.85,96.73,1,4.510000229,260.5
1573,AL100,A414 between M1 J7 and A405 (AL100),20150317,37,159.96,101.5,1,4.510000229,268.0
1574,AL100,A414 between M1 J7 and A405 (AL100),20150317,38,162.65,99.82,1,4.510000229,221.5
1575,AL100,A414 between M1 J7 and A405 (AL100),20150317,39,163.67,99.2,1,4.510000229,197.5
1576,AL100,A414 between M1 J7 and A405 (AL100),20150317,40,148.03,109.68,1,4.510000229,191.5
1577,AL100,A414 between M1 J7 and A405 (AL100),20150317,41,188.22,86.26,1,4.510000229,177.0
1578,AL100,A414 between M1 J7 and A405 (AL100),20150317,42,148.04,109.67,1,4.510000229,177.5
1579,AL100,A414 between M1 J7 and A405 (AL100),20150317,43,157.91,102.82,1,4.510000229,169.0
1580,AL100,A414 between M1 J7 and A405 (AL100),20150317,44,167.78,96.77,1,4.510000229,157.0
1581,AL100,A414 between M1 J7 and A405 (AL100),20150317,45,161.02,100.83,1,4.510000229,171.0
1582,AL100,A414 between M1 J7 and A405 (AL100),20150317,46,125.04,129.85,1,4.510000229,167.5
1583,AL100,A414 between M1 J7 and A405 (AL100),20150317,47,125.04,129.85,1,4.510000229,164.5
1584,AL100,A414 between M1 J7 and A405 (AL100),20150317,48,146.6,110.75,1,4.510000229,171.5
1585,AL100,A414 between M1 J7 and A405 (AL100),20150317,49,146.6,110.75,1,4.510000229,180.0
1586,AL100,A414 between M1 J7 and A405 (AL100),20150317,50,146.6,110.75,1,4.510000229,185.0
1587,AL100,A414 between M1 J7 and A405 (AL100),20150317,51,158.58,102.38,1,4.510000229,169.0
1588,AL100,A414 between M1 J7 and A405 (AL100),20150317,52,158.58,102.38,1,4.510000229,176.0
1589,AL100,A414 between M1 J7 and A405 (AL100),20150317,53,122.0,133.08,1,4.510000229,172.5
1590,AL100,A414 between M1 J7 and A405 (AL100),20150317,54,164.98,98.41,1,4.510000229,180.0
1591,AL100,A414 between M1 J7 and A405 (AL100),20150317,55,164.04,98.98,1,4.510000229,172.0
1592,AL100,A414 between M1 J7 and A405 (AL100),20150317,56,163.09,99.55,1,4.510000229,186.0
1593,AL100,A414 between M1 J7 and A405 (AL100),20150317,57,159.6,101.73,1,4.510000229,173.0
1594,AL100,A414 between M1 J7 and A405 (AL100),20150317,58,159.1,102.05,1,4.510000229,190.5
1595,AL100,A414 between M1 J7 and A405 (AL100),20150317,59,158.59,102.38,1,4.510000229,182.5
1596,AL100,A414 between M1 J7 and A405 (AL100),20150317,60,179.38,90.51,1,4.510000229,189.0
1597,AL100,A414 between M1 J7 and A405 (AL100),20150317,61,134.66,120.57,1,4.510000229,190.5
1598,AL100,A414 between M1 J7 and A405 (AL100),20150317,62,148.87,109.06,1,4.510000229,214.0
1599,AL100,A414 between M1 J7 and A405 (AL100),20150317,63,144.04,112.72,1,4.510000229,199.0
1600,AL100,A414 between M1 J7 and A405 (AL100),20150317,64,143.05,113.5,1,4.510000229,238.5
1601,AL100,A414 between M1 J7 and A405 (AL100),20150317,65,142.05,114.3,1,4.510000229,253.5
1602,AL100,A414 between M1 J7 and A405 (AL100),20150317,66,156.85,103.51,1,4.510000229,270.0
1603,AL100,A414 between M1 J7 and A405 (AL100),20150317,67,144.39,112.45,1,4.510000229,258.5
1604,AL100,A414 between M1 J7 and A405 (AL100),20150317,68,131.92,123.07,1,4.510000229,269.0
1605,AL100,A414 between M1 J7 and A405 (AL100),20150317,69,163.09,99.55,1,4.510000229,294.0
1606,AL100,A414 between M1 J7 and A405 (AL100),20150317,70,150.15,108.13,1,4.510000229,274.0
1607,AL100,A414 between M1 J7 and A405 (AL100),20150317,71,148.08,109.64,1,4.510000229,269.0
1608,AL100,A414 between M1 J7 and A405 (AL100),20150317,72,148.08,109.64,1,4.510000229,246.0
1609,AL100,A414 between M1 J7 and A405 (AL100),20150317,73,143.52,113.13,1,4.510000229,246.5
1610,AL100,A414 between M1 J7 and A405 (AL100),20150317,74,143.52,113.13,1,4.510000229,215.5
1611,AL100,A414 between M1 J7 and A405 (AL100),20150317,75,143.52,113.13,1,4.510000229,186.0
1612,AL100,A414 between M1 J7 and A405 (AL100),20150317,76,135.68,119.66,1,4.510000229,167.5
1613,AL100,A414 between M1 J7 and A405 (AL100),20150317,77,127.84,127.0,1,4.510000229,139.5
1614,AL100,A414 between M1 J7 and A405 (AL100),20150317,78,127.84,127.0,1,4.510000229,132.5
1615,AL100,A414 between M1 J7 and A405 (AL100),20150317,79,127.84,127.0,1,4.510000229,110.5
1616,AL100,A414 between M1 J7 and A405 (AL100),20150317,80,163.9,99.06,1,4.510000229,91.5
1617,AL100,A414 between M1 J7 and A405 (AL100),20150317,81,163.9,99.06,1,4.510000229,107.0
1618,AL100,A414 between M1 J7 and A405 (AL100),20150317,82,164.15,98.91,1,4.510000229,84.0
1619,AL100,A414 between M1 J7 and A405 (AL100),20150317,83,164.4,98.76,1,4.510000229,78.5
1620,AL100,A414 between M1 J7 and A405 (AL100),20150317,84,164.4,98.76,1,4.510000229,72.5
1621,AL100,A414 between M1 J7 and A405 (AL100),20150317,85,164.4,98.76,1,4.510000229,77.0
1622,AL100,A414 between M1 J7 and A405 (AL100),20150317,86,170.05,95.48,3,4.510000229,85.5
1623,AL100,A414 between M1 J7 and A405 (AL100),20150317,87,152.35,106.57,3,4.510000229,80.0
1624,AL100,A414 between M1 J7 and A405 (AL100),20150317,88,152.07,106.77,3,4.510000229,73.0
1625,AL100,A414 between M1 J7 and A405 (AL100),20150317,89,163.72,99.17,3,4.510000229,69.5
1626,AL100,A414 between M1 J7 and A405 (AL100),20150317,90,144.8,112.13,1,4.510000229,59.0
1627,AL100,A414 between M1 J7 and A405 (AL100),20150317,91,144.8,112.13,1,4.510000229,51.0
1628,AL100,A414 between M1 J7 and A405 (AL100),20150317,92,144.8,112.13,1,4.510000229,47.5
1629,AL100,A414 between M1 J7 and A405 (AL100),20150317,93,144.8,112.13,1,4.510000229,40.0
1630,AL100,A414 between M1 J7 and A405 (AL100),20150317,94,144.8,112.13,1,4.510000229,34.5
1631,AL100,A414 between M1 J7 and A405 (AL100),20150317,95,169.02,96.06,3,4.510000229,29.0
1632,AL100,A414 between M1 J7 and A405 (AL100),20150318,00,140.36,115.67,1,4.510000229,22.5
1633,AL100,A414 between M1 J7 and A405 (AL100),20150318,01,140.36,115.67,1,4.510000229,23.5
1634,AL100,A414 between M1 J7 and A405 (AL100),20150318,02,140.36,115.67,1,4.510000229,23.5
1635,AL100,A414 between M1 J7 and A405 (AL100),20150318,03,116.45,139.42,1,4.510000229,18.5
1636,AL100,A414 between M1 J7 and A405 (AL100),20150318,04,116.45,139.42,1,4.510000229,15.5
1637,AL100,A414 between M1 J7 and A405 (AL100),20150318,05,116.45,139.42,1,4.510000229,14.5
1638,AL100,A414 between M1 J7 and A405 (AL100),20150318,06,116.45,139.42,1,4.510000229,18.5
1639,AL100,A414 between M1 J7 and A405 (AL100),20150318,07,149.41,108.67,1,4.510000229,14.0
1640,AL100,A414 between M1 J7 and A405 (AL100),20150318,08,149.41,108.67,1,4.510000229,18.0
1641,AL100,A414 between M1 J7 and A405 (AL100),20150318,09,149.41,108.67,1,4.510000229,17.0
1642,AL100,A414 between M1 J7 and A405 (AL100),20150318,10,149.41,108.67,1,4.510000229,16.0
1643,AL100,A414 between M1 J7 and A405 (AL100),20150318,11,147.66,109.96,3,4.510000229,17.0
1644,AL100,A414 between M1 J7 and A405 (AL100),20150318,12,175.85,92.33,3,4.510000229,19.5
1645,AL100,A414 between M1 J7 and A405 (AL100),20150318,13,165.63,98.03,3,4.510000229,22.0
1646,AL100,A414 between M1 J7 and A405 (AL100),20150318,14,166.96,97.24,3,4.510000229,24.5
1647,AL100,A414 between M1 J7 and A405 (AL100),20150318,15,166.32,97.62,3,4.510000229,20.0
1648,AL100,A414 between M1 J7 and A405 (AL100),20150318,16,157.69,102.96,3,4.510000229,19.0
1649,AL100,A414 between M1 J7 and A405 (AL100),20150318,17,150.71,107.73,3,4.510000229,20.5
1650,AL100,A414 between M1 J7 and A405 (AL100),20150318,18,155.46,104.44,1,4.510000229,38.5
1651,AL100,A414 between M1 J7 and A405 (AL100),20150318,19,155.46,104.44,1,4.510000229,38.5
1652,AL100,A414 between M1 J7 and A405 (AL100),20150318,20,155.46,104.44,1,4.510000229,56.5
1653,AL100,A414 between M1 J7 and A405 (AL100),20150318,21,155.46,104.44,1,4.510000229,82.0
1654,AL100,A414 between M1 J7 and A405 (AL100),20150318,22,155.46,104.44,1,4.510000229,115.0
1655,AL100,A414 between M1 J7 and A405 (AL100),20150318,23,157.19,103.29,1,4.510000229,110.0
1656,AL100,A414 between M1 J7 and A405 (AL100),20150318,24,157.19,103.29,1,4.510000229,140.5
1657,AL100,A414 between M1 J7 and A405 (AL100),20150318,25,157.19,103.29,1,4.510000229,159.0
1658,AL100,A414 between M1 J7 and A405 (AL100),20150318,26,131.85,123.14,1,4.510000229,212.0
1659,AL100,A414 between M1 J7 and A405 (AL100),20150318,27,150.57,107.83,1,4.510000229,252.0
1660,AL100,A414 between M1 J7 and A405 (AL100),20150318,28,136.87,118.62,1,4.510000229,286.5
1661,AL100,A414 between M1 J7 and A405 (AL100),20150318,29,142.18,114.19,1,4.510000229,306.0
1662,AL100,A414 between M1 J7 and A405 (AL100),20150318,30,140.75,115.35,1,4.510000229,324.5
1663,AL100,A414 between M1 J7 and A405 (AL100),20150318,31,169.62,95.72,1,4.510000229,330.5
1664,AL100,A414 between M1 J7 and A405 (AL100),20150318,32,283.05,57.36,1,4.510000229,346.0
1665,AL100,A414 between M1 J7 and A405 (AL100),20150318,33,316.61,51.28,1,4.510000229,325.5
1666,AL100,A414 between M1 J7 and A405 (AL100),20150318,34,152.55,106.43,1,4.510000229,294.0
1667,AL100,A414 between M1 J7 and A405 (AL100),20150318,35,174.13,93.24,1,4.510000229,253.0
1668,AL100,A414 between M1 J7 and A405 (AL100),20150318,36,147.79,109.86,1,4.510000229,246.0
1669,AL100,A414 between M1 J7 and A405 (AL100),20150318,37,147.38,110.16,1,4.510000229,249.5
1670,AL100,A414 between M1 J7 and A405 (AL100),20150318,38,146.97,110.47,1,4.510000229,237.0
1671,AL100,A414 between M1 J7 and A405 (AL100),20150318,39,177.74,91.35,1,4.510000229,199.0
1672,AL100,A414 between M1 J7 and A405 (AL100),20150318,40,141.04,115.12,1,4.510000229,193.5
1673,AL100,A414 between M1 J7 and A405 (AL100),20150318,41,141.7,114.58,1,4.510000229,180.0
1674,AL100,A414 between M1 J7 and A405 (AL100),20150318,42,161.78,100.36,1,4.510000229,179.5
1675,AL100,A414 between M1 J7 and A405 (AL100),20150318,43,146.48,110.84,1,4.510000229,169.5
1676,AL100,A414 between M1 J7 and A405 (AL100),20150318,44,166.87,97.3,1,4.510000229,166.0
1677,AL100,A414 between M1 J7 and A405 (AL100),20150318,45,141.55,114.7,1,4.510000229,161.5
1678,AL100,A414 between M1 J7 and A405 (AL100),20150318,46,141.55,114.7,1,4.510000229,167.5
1679,AL100,A414 between M1 J7 and A405 (AL100),20150318,47,159.11,102.04,1,4.510000229,161.0
1680,AL100,A414 between M1 J7 and A405 (AL100),20150318,48,176.67,91.9,1,4.510000229,164.5
1681,AL100,A414 between M1 J7 and A405 (AL100),20150318,49,176.67,91.9,1,4.510000229,180.5
1682,AL100,A414 between M1 J7 and A405 (AL100),20150318,50,148.55,109.3,1,4.510000229,172.5
1683,AL100,A414 between M1 J7 and A405 (AL100),20150318,51,148.55,109.3,1,4.510000229,172.5
1684,AL100,A414 between M1 J7 and A405 (AL100),20150318,52,148.55,109.3,1,4.510000229,182.5
1685,AL100,A414 between M1 J7 and A405 (AL100),20150318,53,126.72,128.13,1,4.510000229,195.0
1686,AL100,A414 between M1 J7 and A405 (AL100),20150318,54,126.72,128.13,1,4.510000229,173.5
1687,AL100,A414 between M1 J7 and A405 (AL100),20150318,55,126.72,128.13,1,4.510000229,174.5
1688,AL100,A414 between M1 J7 and A405 (AL100),20150318,56,135.13,120.15,1,4.510000229,183.5
1689,AL100,A414 between M1 J7 and A405 (AL100),20150318,57,143.53,113.12,1,4.510000229,178.0
1690,AL100,A414 between M1 J7 and A405 (AL100),20150318,58,158.14,102.67,1,4.510000229,189.0
1691,AL100,A414 between M1 J7 and A405 (AL100),20150318,59,163.15,99.52,1,4.510000229,193.5
1692,AL100,A414 between M1 J7 and A405 (AL100),20150318,60,168.16,96.55,1,4.510000229,198.0
1693,AL100,A414 between M1 J7 and A405 (AL100),20150318,61,168.81,96.18,1,4.510000229,196.5
1694,AL100,A414 between M1 J7 and A405 (AL100),20150318,62,146.89,110.53,1,4.510000229,204.5
1695,AL100,A414 between M1 J7 and A405 (AL100),20150318,63,142.9,113.62,1,4.510000229,211.0
1696,AL100,A414 between M1 J7 and A405 (AL100),20150318,64,165.89,97.87,1,4.510000229,249.0
1697,AL100,A414 between M1 J7 and A405 (AL100),20150318,65,132.58,122.46,1,4.510000229,270.5
1698,AL100,A414 between M1 J7 and A405 (AL100),20150318,66,124.08,130.85,1,4.510000229,272.5
1699,AL100,A414 between M1 J7 and A405 (AL100),20150318,67,144.91,112.04,1,4.510000229,258.0
1700,AL100,A414 between M1 J7 and A405 (AL100),20150318,68,156.66,103.64,1,4.510000229,275.5
1701,AL100,A414 between M1 J7 and A405 (AL100),20150318,69,168.41,96.41,1,4.510000229,284.0
1702,AL100,A414 between M1 J7 and A405 (AL100),20150318,70,148.34,109.45,1,4.510000229,283.5
1703,AL100,A414 between M1 J7 and A405 (AL100),20150318,71,128.26,126.59,1,4.510000229,287.0
1704,AL100,A414 between M1 J7 and A405 (AL100),20150318,72,159.66,101.69,1,4.510000229,254.0
1705,AL100,A414 between M1 J7 and A405 (AL100),20150318,73,152.4,106.54,1,4.510000229,243.5
1706,AL100,A414 between M1 J7 and A405 (AL100),20150318,74,145.13,111.87,1,4.510000229,224.5
1707,AL100,A414 between M1 J7 and A405 (AL100),20150318,75,137.98,117.67,1,4.510000229,197.0
1708,AL100,A414 between M1 J7 and A405 (AL100),20150318,76,128.23,126.62,1,4.510000229,178.5
1709,AL100,A414 between M1 J7 and A405 (AL100),20150318,77,128.23,126.62,1,4.510000229,160.0
1710,AL100,A414 between M1 J7 and A405 (AL100),20150318,78,150.64,107.78,1,4.510000229,143.0
1711,AL100,A414 between M1 J7 and A405 (AL100),20150318,79,173.05,93.82,1,4.510000229,123.5
1712,AL100,A414 between M1 J7 and A405 (AL100),20150318,80,173.05,93.82,1,4.510000229,96.5
1713,AL100,A414 between M1 J7 and A405 (AL100),20150318,81,173.05,93.82,1,4.510000229,94.5
1714,AL100,A414 between M1 J7 and A405 (AL100),20150318,82,173.05,93.82,1,4.510000229,96.0
1715,AL100,A414 between M1 J7 and A405 (AL100),20150318,83,150.03,108.22,3,4.510000229,80.0
1716,AL100,A414 between M1 J7 and A405 (AL100),20150318,84,152.15,106.71,3,4.510000229,80.0
1717,AL100,A414 between M1 J7 and A405 (AL100),20150318,85,153.45,105.81,3,4.510000229,87.5
1718,AL100,A414 between M1 J7 and A405 (AL100),20150318,86,148.57,109.28,3,4.510000229,91.0
1719,AL100,A414 between M1 J7 and A405 (AL100),20150318,87,142.49,113.94,3,4.510000229,83.5
1720,AL100,A414 between M1 J7 and A405 (AL100),20150318,88,148.77,109.13,3,4.510000229,69.0
1721,AL100,A414 between M1 J7 and A405 (AL100),20150318,89,165.01,98.39,3,4.510000229,63.5
1722,AL100,A414 between M1 J7 and A405 (AL100),20150318,90,147.96,109.73,1,4.510000229,60.0
1723,AL100,A414 between M1 J7 and A405 (AL100),20150318,91,147.96,109.73,1,4.510000229,54.0
1724,AL100,A414 between M1 J7 and A405 (AL100),20150318,92,147.96,109.73,1,4.510000229,49.5
1725,AL100,A414 between M1 J7 and A405 (AL100),20150318,93,147.96,109.73,1,4.510000229,42.5
1726,AL100,A414 between M1 J7 and A405 (AL100),20150318,94,147.96,109.73,1,4.510000229,37.5
1727,AL100,A414 between M1 J7 and A405 (AL100),20150318,95,155.5,104.41,3,4.510000229,26.0
1728,AL100,A414 between M1 J7 and A405 (AL100),20150319,00,142.33,114.07,1,4.510000229,23.5
1729,AL100,A414 between M1 J7 and A405 (AL100),20150319,01,150.85,107.63,1,4.510000229,21.5
1730,AL100,A414 between M1 J7 and A405 (AL100),20150319,02,159.36,101.88,1,4.510000229,21.5
1731,AL100,A414 between M1 J7 and A405 (AL100),20150319,03,159.36,101.88,1,4.510000229,20.5
1732,AL100,A414 between M1 J7 and A405 (AL100),20150319,04,159.36,101.88,1,4.510000229,15.0
1733,AL100,A414 between M1 J7 and A405 (AL100),20150319,05,175.38,92.58,3,4.510000229,21.0
1734,AL100,A414 between M1 J7 and A405 (AL100),20150319,06,144.96,112.0,3,4.510000229,18.0
1735,AL100,A414 between M1 J7 and A405 (AL100),20150319,07,118.67,136.82,3,4.510000229,15.5
1736,AL100,A414 between M1 J7 and A405 (AL100),20150319,08,151.0,107.52,3,4.510000229,18.0
1737,AL100,A414 between M1 J7 and A405 (AL100),20150319,09,157.43,103.13,3,4.510000229,15.5
1738,AL100,A414 between M1 J7 and A405 (AL100),20150319,10,159.18,102.0,3,4.510000229,21.0
1739,AL100,A414 between M1 J7 and A405 (AL100),20150319,11,162.75,99.76,3,4.510000229,13.5
1740,AL100,A414 between M1 J7 and A405 (AL100),20150319,12,169.13,96.0,3,4.510000229,23.0
1741,AL100,A414 between M1 J7 and A405 (AL100),20150319,13,143.6,113.06,3,4.510000229,22.0
1742,AL100,A414 between M1 J7 and A405 (AL100),20150319,14,169.21,95.95,3,4.510000229,26.0
1743,AL100,A414 between M1 J7 and A405 (AL100),20150319,15,153.9,105.5,3,4.510000229,16.5
1744,AL100,A414 between M1 J7 and A405 (AL100),20150319,16,161.05,100.81,3,4.510000229,16.0
1745,AL100,A414 between M1 J7 and A405 (AL100),20150319,17,145.14,111.86,3,4.510000229,24.5
1746,AL100,A414 between M1 J7 and A405 (AL100),20150319,18,163.7,99.18,3,4.510000229,43.5
1747,AL100,A414 between M1 J7 and A405 (AL100),20150319,19,151.71,107.02,3,4.510000229,42.5
1748,AL100,A414 between M1 J7 and A405 (AL100),20150319,20,157.93,102.81,3,4.510000229,54.0
1749,AL100,A414 between M1 J7 and A405 (AL100),20150319,21,141.51,114.73,1,4.510000229,80.0
1750,AL100,A414 between M1 J7 and A405 (AL100),20150319,22,141.51,114.73,1,4.510000229,113.0
1751,AL100,A414 between M1 J7 and A405 (AL100),20150319,23,141.51,114.73,1,4.510000229,111.0
1752,AL100,A414 between M1 J7 and A405 (AL100),20150319,24,150.61,107.8,1,4.510000229,133.0
1753,AL100,A414 between M1 J7 and A405 (AL100),20150319,25,159.71,101.66,1,4.510000229,151.5
1754,AL100,A414 between M1 J7 and A405 (AL100),20150319,26,155.92,104.13,1,4.510000229,218.0
1755,AL100,A414 between M1 J7 and A405 (AL100),20150319,27,145.31,111.73,1,4.510000229,250.5
1756,AL100,A414 between M1 J7 and A405 (AL100),20150319,28,150.33,108.0,1,4.510000229,295.5
1757,AL100,A414 between M1 J7 and A405 (AL100),20150319,29,146.36,110.93,1,4.510000229,327.0
1758,AL100,A414 between M1 J7 and A405 (AL100),20150319,30,141.18,115.0,1,4.510000229,337.0
1759,AL100,A414 between M1 J7 and A405 (AL100),20150319,31,197.91,82.04,1,4.510000229,346.5
1760,AL100,A414 between M1 J7 and A405 (AL100),20150319,32,254.64,63.76,1,4.510000229,357.5
1761,AL100,A414 between M1 J7 and A405 (AL100),20150319,33,188.72,86.03,1,4.510000229,311.5
1762,AL100,A414 between M1 J7 and A405 (AL100),20150319,34,187.66,86.52,1,4.510000229,289.5
1763,AL100,A414 between M1 J7 and A405 (AL100),20150319,35,170.38,95.29,1,4.510000229,240.5
1764,AL100,A414 between M1 J7 and A405 (AL100),20150319,36,153.1,106.05,1,4.510000229,247.5
1765,AL100,A414 between M1 J7 and A405 (AL100),20150319,37,165.27,98.24,1,4.510000229,241.0
1766,AL100,A414 between M1 J7 and A405 (AL100),20150319,38,161.05,100.81,1,4.510000229,224.5
1767,AL100,A414 between M1 J7 and A405 (AL100),20150319,39,156.82,103.53,1,4.510000229,207.0
1768,AL100,A414 between M1 J7 and A405 (AL100),20150319,40,157.34,103.19,1,4.510000229,187.0
1769,AL100,A414 between M1 J7 and A405 (AL100),20150319,41,160.31,101.28,1,4.510000229,188.5
1770,AL100,A414 between M1 J7 and A405 (AL100),20150319,42,147.17,110.32,1,4.510000229,179.5
1771,AL100,A414 between M1 J7 and A405 (AL100),20150319,43,134.03,121.14,1,4.510000229,160.5
1772,AL100,A414 between M1 J7 and A405 (AL100),20150319,44,165.47,98.12,1,4.510000229,159.5
1773,AL100,A414 between M1 J7 and A405 (AL100),20150319,45,157.77,102.91,1,4.510000229,168.5
1774,AL100,A414 between M1 J7 and A405 (AL100),20150319,46,121.19,133.97,1,4.510000229,177.0
1775,AL100,A414 between M1 J7 and A405 (AL100),20150319,47,146.27,111.0,1,4.510000229,178.0
1776,AL100,A414 between M1 J7 and A405 (AL100),20150319,48,171.34,94.76,1,4.510000229,173.0
1777,AL100,A414 between M1 J7 and A405 (AL100),20150319,49,163.03,99.59,1,4.510000229,177.0
